Date,Account,Category,Note,Income/Expense,Amount,Type
1/26/2022 17:45,CUB - online payment,Other,Vishnu 100 gowdham 25,Income,125.0,Expense
1/26/2022 16:52,CUB - online payment,Food,Paani poori,Expense,25.0,Expense
1/25/2022 13:35,CUB - online payment,Food,Kfc date with myself,Expense,259.0,Expense
1/25/2022 10:23,CUB - online payment,Food,Lemon tea,Expense,18.0,Expense
1/25/2022 9:20,CUB - online payment,Transportation,Train to vnr,Expense,325.0,Expense
1/24/2022 20:17,CUB - online payment,Food,Snack,Expense,40.0,Expense
1/24/2022 14:08,CUB - online payment,Food,Lunch with company,Expense,133.0,Expense
1/23/2022 21:45,CUB - online payment,Food,Pepsi,Expense,40.0,Expense
1/23/2022 21:41,CUB - online payment,Food,Dinner,Expense,465.0,Expense
1/23/2022 21:29,CUB - online payment,Food,Sent to vicky,Expense,300.0,Expense
1/23/2022 21:29,CUB - online payment,Food,Lunch,Expense,302.0,Expense
1/23/2022 21:29,CUB - online payment,Other,From vicky,Income,310.0,Expense
1/23/2022 21:27,CUB - online payment,Food,Snacks with preethi and azar,Expense,176.0,Expense
1/23/2022 21:27,CUB - online payment,Social Life,Badminton,Expense,200.0,Expense
1/23/2022 21:27,CUB - online payment,Other,From dad,Income,2000.0,Expense
1/21/2022 14:22,CUB - online payment,Food,Lunch with company,Expense,188.0,Expense
1/21/2022 11:47,CUB - online payment,Food,Snacks,Expense,37.0,Expense
1/21/2022 11:47,CUB - online payment,Other,From vicky,Income,200.0,Expense
1/19/2022 14:27,CUB - online payment,Food,Lunch + chocolate for preethi,Expense,171.0,Expense
1/18/2022 20:54,CUB - online payment,Food,Dinner,Expense,301.15,Expense
1/18/2022 17:10,CUB - online payment,Food,Snack with preethi,Expense,59.0,Expense
1/18/2022 13:51,CUB - online payment,Food,Lunch with company,Expense,148.0,Expense
1/18/2022 12:59,CUB - online payment,Other,To kumara,Expense,200.0,Expense
1/18/2022 12:59,CUB - online payment,Other,From dad,Income,1000.0,Expense
1/17/2022 18:31,CUB - online payment,Food,Eve snack,Expense,100.0,Expense
1/15/2022 21:17,CUB - online payment,Transportation,Bus to Bangalore,Expense,1365.0,Expense
1/15/2022 21:16,CUB - online payment,Other,From dad,Income,1500.0,Expense
1/15/2022 21:16,CUB - online payment,Food,Snacks,Expense,70.0,Expense
1/14/2022 16:58,CUB - online payment,Other,Kumara,Income,170.0,Expense
1/14/2022 16:56,CUB - online payment,Other,Siva + 100 cash,Income,70.0,Expense
1/14/2022 16:56,CUB - online payment,Other,Gundan + prasanna,Income,340.0,Expense
1/14/2022 16:55,CUB - online payment,Other,Dinesh and maddy + 100 cash,Income,240.0,Expense
1/14/2022 16:54,CUB - online payment,Other,From gowdham,Income,340.0,Expense
1/14/2022 16:54,CUB - online payment,Food,Lunch pongal,Expense,1530.0,Expense
1/13/2022 20:46,CUB - online payment,Food,Dinner,Expense,66.0,Expense
1/13/2022 19:10,CUB - online payment,Other,From dad,Income,1000.0,Expense
1/13/2022 17:47,CUB - online payment,Transportation,Rapido to pg,Expense,43.0,Expense
1/12/2022 22:44,CUB - online payment,Other,Recharge by gowdham,Expense,479.0,Expense
1/12/2022 13:25,CUB - online payment,Food,Pizza,Expense,301.75,Expense
1/12/2022 13:25,CUB - online payment,Other,From kumara,Income,200.0,Expense
1/11/2022 14:07,CUB - online payment,Food,Lunch with not preethi,Expense,135.5,Expense
1/10/2022 14:04,CUB - online payment,Food,Friday snacks with preethi gang,Expense,106.0,Expense
1/8/2022 13:46,CUB - online payment,Other,From gowdham,Income,260.0,Expense
1/8/2022 13:45,CUB - online payment,Food,Lunch with gowdham,Expense,535.3,Expense
1/8/2022 13:38,CUB - online payment,Household,Rent,Expense,4580.0,Expense
1/7/2022 13:51,CUB - online payment,Food,Coffee + biscuit,Expense,15.0,Expense
1/6/2022 21:30,CUB - online payment,Other,From barath and shakur,Income,440.0,Expense
1/6/2022 20:58,CUB - online payment,Food,Ketch up,Expense,20.0,Expense
1/6/2022 20:13,CUB - online payment,Food,Dinner with roommate,Expense,877.81,Expense
1/6/2022 14:22,CUB - online payment,Food,Bingo,Expense,10.0,Expense
1/6/2022 11:48,CUB - online payment,Transportation,Rapido to pg,Expense,42.0,Expense
1/5/2022 20:23,CUB - online payment,Food,McDonald's with company,Expense,211.0,Expense
1/5/2022 14:46,CUB - online payment,Other,Lended money returned to vishnu,Expense,40.0,Expense
